coenti;damesano;plajustado;margem;pl;AjustesContabeis;AjustesEconomicos;NovoPla;CMR
06866;200306;1073469316,2;0;1326014599,59;-252545283,39;0;0;0
06947;200306;10755065,21;0;34520857,97;-23765792,76;0;0;0
10669;200306;0;0;0;0;0;0;0
11029;200306;0;0;0;0;0;0;0
11088;200306;0;0;0;0;0;0;0
11126;200306;0;0;0;0;0;0;0
20281;200306;245479,68;0;541032,77;-295553,09;0;0;0
21334;200306;17712545,8;0;95321717,46;-77609171,66;0;0;0
22110;200306;8257810,42;0;8259810,42;-2000;0;0;0
23345;200306;12241984;0;12292127;-50143;0;0;0
23566;200306;183058683;0;321961592;-138902909;0;0;0
03298;200307;11566299,1;0;11571133,2;-4834,09999999963;0;0;0
05142;200307;59822116,86;0;201977418;-142155301,14;0;0;0
05274;200307;24515583,65;0;31854417,96;-7338834,31;0;0;0
05321;200307;426772412,01;0;2101487026,23;-1674714614,22;0;0;0
05401;200307;7607842,38;0;8302501,79;-694659,41;0;0;0
05495;200307;61566641,83;0;82164635,14;-20597993,31;0;0;0
05690;200307;5658597,27;0;5685663,69;-27066,4200000009;0;0;0
05886;200307;535689905,11;0;639226557,77;-103536652,66;0;0;0
05983;200307;1063957918,59;0;1389782465,74;-325824547,15;0;0;0
06220;200307;85723654,46;0;111052573,09;-25328918,63;0;0;0
06238;200307;138138310,36;0;165884867,59;-27746557,23;0;0;0
06271;200307;20027403,1;0;20027403,1;0;0;0;0
06688;200307;127203690,02;0;153078377,16;-25874687,14;0;0;0
06840;200307;124943805,55;0;132188725,63;-7244920,08;0;0;0
06921;200307;57038747,57;0;88627284,17;-31588536,6;0;0;0
08737;200307;72581094,97;0;75118791,28;-2537696,31;0;0;0
10707;200307;0;0;0;0;0;0;0
10901;200307;0;0;0;0;0;0;0
10987;200307;0;0;0;0;0;0;0
11070;200307;0;0;0;0;0;0;0
20273;200307;14064763,95;0;14064763,95;0;0;0;0
20281;200307;239716,29;0;530260,68;-290544,39;0;0;0
20451;200307;5644156,8;0;6103024,06;-458867,26;0;0;0
22110;200307;8290184,75;0;8296052,02;-5867,26999999955;0;0;0
27138;200307;2548065,51;0;2551932,77;-3867,26000000024;0;0;0
03816;200308;21805031,26;0;23672359,91;-1867328,65;0;0;0
04707;200308;140953420,61;0;148954028,48;-8000607,86999997;0;0;0
05185;200308;56131272,65;0;90351791,97;-34220519,32;0;0;0
